nome;danno_s;punti_vita;costo;volante;tipologia;velocita;portata;tipo_bersaglio;effetti_aggiuntivi
Drago elletrico;91;949;5;True;truppa;1;True;False;1
Boia;140;1280;5;False;truppa;1;True;False;1
Gigante;160;4090;5;False;truppa;0;False;True;0
Macchina goblin;260;2185;5;False;truppa;1;False;False;0
Orda di sgherri;485;1150;5;True;truppa;2;True;False;0
Principe;279;1920;5;False;truppa;1;False;False;1
Domatrice di arieti;147;1697;5;False;truppa;1;False;True;1
Mascalzoni;394;2462;5;False;truppa;1;True;False;0
Maiali royale;244;3348;5;False;truppa;3;False;True;0
Strega;122;839;5;False;truppa;1;True;False;1
Stregone;200;755;5;False;truppa;1;True;False;1
Torre infernale;500;1748;5;False;edificio;;True;False;0
Barbari elite;548;2682;6;False;truppa;2;False;False;0
Gigante scheletro;197;3617;6;False;truppa;1;False;False;1
Gigante royale;180;3164;6;False;truppa;0;False;True;1
Scintilla;332;1451;6;False;truppa;1;False;False;1
Imperatrice degli spiriti;279;1244;6;True;truppa;1;True;False;1
Arco x;143;1600;6;False;edificio;;False;False;1
Capanna dei barbari;0;1164;6;False;edificio;;False;False;2
Estrattore di elisir;0;1070;6;False;edificio;;False;False;2
Fulmine;671;;6;;incantesimo;;;;1
Razzo;927;;6;;incantesimo;;;;0
Gigante elletrico;77;3885;7;False;truppa;0;False;True;2
Gran cavaliere;157;3993;7;False;truppa;1;False;False;1
Pekka;463;3760;7;False;truppa;0;False;False;0
Reclute royale;612;4772;7;False;truppa;1;False;False;0
Mastino lavico;40;3581;7;True;truppa;0;False;True;1
Golem;124;5120;8;False;truppa;0;False;True;1
Tre moschettieri;646;2649;9;False;truppa;1;True;False;0
Clonazione;0;;3;;incantesimo;;;;1
Cimitero;0;;5;;incantesimo;;;;2
Lapide;0;529;3;;edificio;;;;1
Barile goblin;0;;3;;incantesimo;;;;1
